dataset,selector,clasificador,f1_test,roc_auc_test,balanced_acc_test,precision_test,recall_test,specificity_test,f1_val,roc_auc_val,balanced_acc_val,precision_val,recall_val,specificity_val,num_selected_features
grosores_corticales,ElasticNet,SVM,0.7804878048780488,0.8888888888888888,0.8068783068783069,0.8,0.7619047619047619,0.8518518518518519,0.8662401734887503,0.9104575163398692,0.8802054154995332,0.9028011204481792,0.8366013071895424,0.9238095238095236,3
grosores_corticales,ElasticNet,RandomForest,0.7441860465116279,0.8924162257495591,0.7698412698412698,0.7272727272727273,0.7619047619047619,0.7777777777777778,0.8684593837535013,0.898474945533769,0.8816526610644256,0.8959967320261437,0.8490196078431372,0.9142857142857144,16
grosores_corticales,RFE,LogisticRegression,0.8,0.8800705467372134,0.8253968253968254,0.8421052631578947,0.7619047619047619,0.8888888888888888,0.8629352346999406,0.9098039215686274,0.8765639589169,0.8851694186446508,0.8483660130718954,0.9047619047619048,3
grosores_corticales,RFE,SVM,0.7804878048780488,0.8783068783068783,0.8068783068783069,0.8,0.7619047619047619,0.8518518518518519,0.8629352346999406,0.8936819172113288,0.8765639589169,0.8851694186446508,0.8483660130718954,0.9047619047619048,2
grosores_corticales,RFE,RandomForest,0.7804878048780488,0.9153439153439152,0.8068783068783069,0.8,0.7619047619047619,0.8518518518518519,0.8583380018674136,0.9022720199190788,0.8721288515406161,0.8756105951152391,0.8490196078431372,0.8952380952380953,10
grosores_corticales,PCA,LogisticRegression,0.8095238095238095,0.929453262786596,0.8306878306878307,0.8095238095238095,0.8095238095238095,0.8518518518518519,0.858037908037908,0.896171802054155,0.8718020541549952,0.8700877192982457,0.8483660130718954,0.8952380952380953,21
grosores_corticales,PCA,SVM,0.8717948717948718,0.980599647266314,0.8862433862433863,0.9444444444444444,0.8095238095238095,0.9629629629629628,0.857741935483871,0.9144724556489262,0.8724089635854341,0.9257142857142858,0.8019607843137255,0.9428571428571428,26
grosores_corticales,PCA,RandomForest,0.85,0.945326278659612,0.8677248677248677,0.8947368421052632,0.8095238095238095,0.925925925925926,0.8460475245816802,0.9062869592281356,0.8620915032679738,0.9107142857142858,0.7908496732026145,0.9333333333333332,13
volúmenes,ElasticNet,LogisticRegression,0.782608695652174,0.890652557319224,0.7989417989417988,0.72,0.8571428571428571,0.7407407407407407,0.8580249085280045,0.9107687519452224,0.8714752567693743,0.8712745098039216,0.8477124183006536,0.8952380952380953,4
volúmenes,ElasticNet,SVM,0.7659574468085106,0.9206349206349208,0.7804232804232805,0.6923076923076923,0.8571428571428571,0.7037037037037037,0.8544425151635776,0.9058823529411764,0.8681605975723624,0.8541083099906629,0.8601307189542485,0.8761904761904761,8
volúmenes,ElasticNet,RandomForest,0.8181818181818182,0.8765432098765432,0.8359788359788359,0.782608695652174,0.8571428571428571,0.8148148148148148,0.8767965367965367,0.9259881730469968,0.8897292250233427,0.9215686274509804,0.8366013071895425,0.9428571428571428,4
volúmenes,RFE,LogisticRegression,0.8163265306122449,0.9223985890652556,0.828042328042328,0.7142857142857143,0.9523809523809524,0.7037037037037037,0.8474997741031896,0.8993464052287582,0.8594304388422035,0.8340102707749766,0.8712418300653596,0.8476190476190476,17
volúmenes,RFE,SVM,0.782608695652174,0.8924162257495591,0.7989417989417988,0.72,0.8571428571428571,0.7407407407407407,0.8535570394441363,0.8911297852474324,0.8684407096171801,0.902468671679198,0.8130718954248366,0.9238095238095236,2
volúmenes,RFE,RandomForest,0.7659574468085106,0.9188712522045857,0.7804232804232805,0.6923076923076923,0.8571428571428571,0.7037037037037037,0.8635695187165776,0.9080610021786492,0.8768907563025209,0.8797058823529411,0.8490196078431372,0.9047619047619048,11
volúmenes,PCA,LogisticRegression,0.8085106382978723,0.908289241622575,0.8227513227513228,0.7307692307692307,0.9047619047619048,0.7407407407407407,0.8367292562958196,0.8842514783691253,0.8486461251167133,0.8254575163398693,0.8496732026143791,0.8476190476190476,10
volúmenes,PCA,SVM,0.7906976744186046,0.890652557319224,0.8121693121693121,0.7727272727272727,0.8095238095238095,0.8148148148148148,0.8351788553259141,0.9188920012449424,0.8505135387488328,0.8486824905400756,0.8248366013071895,0.8761904761904761,25
volúmenes,PCA,RandomForest,0.7727272727272727,0.8395061728395061,0.7936507936507937,0.7391304347826086,0.8095238095238095,0.7777777777777778,0.8062072210459308,0.8788048552754436,0.8186274509803921,0.7861501580037049,0.8372549019607842,0.8,4
volúmenes_y_grosores_corticales,ElasticNet,LogisticRegression,0.8636363636363636,0.945326278659612,0.8783068783068784,0.8260869565217391,0.9047619047619048,0.8518518518518519,0.8798631476050831,0.9321506380329908,0.8911764705882351,0.9186090225563912,0.8490196078431372,0.9333333333333332,4
volúmenes_y_grosores_corticales,ElasticNet,SVM,0.8888888888888888,0.9576719576719576,0.902116402116402,0.8333333333333334,0.9523809523809524,0.8518518518518519,0.8929430724497138,0.938842203548086,0.9029411764705882,0.9207142857142856,0.8725490196078433,0.9333333333333332,7
volúmenes_y_grosores_corticales,ElasticNet,RandomForest,0.9047619047619048,0.9664902998236332,0.9153439153439152,0.9047619047619048,0.9047619047619048,0.925925925925926,0.9044117647058822,0.9375972611266729,0.9135854341736696,0.9271078431372548,0.8843137254901962,0.9428571428571428,17
volúmenes_y_grosores_corticales,RFE,LogisticRegression,0.8888888888888888,0.9435626102292768,0.902116402116402,0.8333333333333334,0.9523809523809524,0.8518518518518519,0.898416538658474,0.936539060068472,0.908169934640523,0.919047619047619,0.8830065359477125,0.9333333333333332,3
volúmenes_y_grosores_corticales,RFE,SVM,0.8636363636363636,0.9444444444444444,0.8783068783068784,0.8260869565217391,0.9047619047619048,0.8518518518518519,0.898416538658474,0.9359165888577652,0.908169934640523,0.919047619047619,0.8830065359477125,0.9333333333333332,3
volúmenes_y_grosores_corticales,RFE,RandomForest,0.9047619047619048,0.964726631393298,0.9153439153439152,0.9047619047619048,0.9047619047619048,0.925925925925926,0.9095947411222554,0.9262371615312792,0.9180205415499532,0.942222222222222,0.8836601307189543,0.9523809523809524,5
volúmenes_y_grosores_corticales,PCA,LogisticRegression,0.8837209302325582,0.9312169312169312,0.8968253968253967,0.8636363636363636,0.9047619047619048,0.8888888888888888,0.8567895675016418,0.9192654839713664,0.8710084033613447,0.8832013574660633,0.8372549019607842,0.9047619047619048,18
volúmenes_y_grosores_corticales,PCA,SVM,0.8181818181818182,0.945326278659612,0.8359788359788359,0.782608695652174,0.8571428571428571,0.8148148148148148,0.878142313436431,0.9304699657640834,0.8883286647992531,0.8853328173374612,0.8718954248366012,0.9047619047619048,92
volúmenes_y_grosores_corticales,PCA,RandomForest,0.8717948717948718,0.9682539682539684,0.8862433862433863,0.9444444444444444,0.8095238095238095,0.9629629629629628,0.8144754676063973,0.8883597883597882,0.8393557422969188,0.8944232238349885,0.7549019607843138,0.9238095238095236,38
volúmenes_grosores_corticales_y_surfárea,ElasticNet,LogisticRegression,0.85,0.9576719576719576,0.8677248677248677,0.8947368421052632,0.8095238095238095,0.925925925925926,0.8794924812030075,0.9312480547774664,0.8905695611577965,0.8666666666666666,0.8954248366013072,0.8857142857142858,5
volúmenes_grosores_corticales_y_surfárea,ElasticNet,SVM,0.9090909090909092,0.9417989417989416,0.9206349206349206,0.8695652173913043,0.9523809523809524,0.8888888888888888,0.8832359168602052,0.9340802987861812,0.8942110177404295,0.8868150769079561,0.8836601307189543,0.9047619047619044,8
volúmenes_grosores_corticales_y_surfárea,ElasticNet,RandomForest,0.9047619047619048,0.9841269841269842,0.9153439153439152,0.9047619047619048,0.9047619047619048,0.925925925925926,0.9114676173499704,0.9377840024898848,0.919467787114846,0.931656346749226,0.8960784313725491,0.9428571428571428,8
volúmenes_grosores_corticales_y_surfárea,RFE,LogisticRegression,0.9302325581395348,0.9735449735449736,0.9391534391534392,0.9090909090909092,0.9523809523809524,0.925925925925926,0.8913763892653834,0.9361344537815126,0.9018207282913168,0.9281162464985996,0.8607843137254901,0.9428571428571428,2
volúmenes_grosores_corticales_y_surfárea,RFE,SVM,0.9047619047619048,0.9735449735449736,0.9153439153439152,0.9047619047619048,0.9047619047619048,0.925925925925926,0.8913763892653834,0.9416744475568006,0.9018207282913168,0.9281162464985996,0.8607843137254901,0.9428571428571428,2
volúmenes_grosores_corticales_y_surfárea,RFE,RandomForest,0.9047619047619048,0.9823633156966493,0.9153439153439152,0.9047619047619048,0.9047619047619048,0.925925925925926,0.9154634581105168,0.9364768129474011,0.922782446311858,0.9506372549019608,0.8836601307189543,0.9619047619047618,19
volúmenes_grosores_corticales_y_surfárea,PCA,LogisticRegression,0.85,0.9559082892416226,0.8677248677248677,0.8947368421052632,0.8095238095238095,0.925925925925926,0.894118249265308,0.9312169312169312,0.903734827264239,0.9064602683178536,0.8836601307189543,0.9238095238095236,86
volúmenes_grosores_corticales_y_surfárea,PCA,SVM,0.8571428571428571,0.9523809523809524,0.873015873015873,0.8571428571428571,0.8571428571428571,0.8888888888888888,0.8990781767252356,0.940398381574852,0.9084967320261438,0.9154411764705882,0.8836601307189543,0.9333333333333332,139
volúmenes_grosores_corticales_y_surfárea,PCA,RandomForest,0.8292682926829268,0.9382716049382716,0.8492063492063492,0.85,0.8095238095238095,0.8888888888888888,0.8350703792488783,0.8997198879551819,0.8584033613445378,0.9431372549019608,0.7549019607843137,0.9619047619047618,70
